UV,Control
Halorubrum_Sp_AJ67.gene.001108,Halorubrum_Sp_AJ67.gene.001395
Halorubrum_Sp_AJ67.gene.001109,Halorubrum_Sp_AJ67.gene.00686
Halorubrum_Sp_AJ67.gene.001120,Halorubrum_Sp_AJ67.gene.00550
Halorubrum_Sp_AJ67.gene.001133,Halorubrum_Sp_AJ67.gene.003142
Halorubrum_Sp_AJ67.gene.001154,Halorubrum_Sp_AJ67.gene.01512
Halorubrum_Sp_AJ67.gene.001190,Halorubrum_Sp_AJ67.gene.001454
Halorubrum_Sp_AJ67.gene.001195,Halorubrum_Sp_AJ67.gene.01233
Halorubrum_Sp_AJ67.gene.001196,Halorubrum_Sp_AJ67.gene.001440
Halorubrum_Sp_AJ67.gene.001199,Halorubrum_Sp_AJ67.gene.001197
Halorubrum_Sp_AJ67.gene.001202,Halorubrum_Sp_AJ67.gene.01421
Halorubrum_Sp_AJ67.gene.001235,Halorubrum_Sp_AJ67.gene.01760
Halorubrum_Sp_AJ67.gene.001249,Halorubrum_Sp_AJ67.gene.02024
Halorubrum_Sp_AJ67.gene.001307,Halorubrum_Sp_AJ67.gene.001470
Halorubrum_Sp_AJ67.gene.00131,Halorubrum_Sp_AJ67.gene.001396
Halorubrum_Sp_AJ67.gene.001310,Halorubrum_Sp_AJ67.gene.01515
Halorubrum_Sp_AJ67.gene.001409,Halorubrum_Sp_AJ67.gene.001466
Halorubrum_Sp_AJ67.gene.001416,Halorubrum_Sp_AJ67.gene.006126
Halorubrum_Sp_AJ67.gene.001445,Halorubrum_Sp_AJ67.gene.01514
Halorubrum_Sp_AJ67.gene.001450,Halorubrum_Sp_AJ67.gene.01519
Halorubrum_Sp_AJ67.gene.001451,Halorubrum_Sp_AJ67.gene.001211
Halorubrum_Sp_AJ67.gene.001468,Halorubrum_Sp_AJ67.gene.001330
Halorubrum_Sp_AJ67.gene.001474,Halorubrum_Sp_AJ67.gene.001366
Halorubrum_Sp_AJ67.gene.001483,Halorubrum_Sp_AJ67.gene.001393
Halorubrum_Sp_AJ67.gene.001514,Halorubrum_Sp_AJ67.gene.001443
Halorubrum_Sp_AJ67.gene.0016,Halorubrum_Sp_AJ67.gene.001444
Halorubrum_Sp_AJ67.gene.00178,Halorubrum_Sp_AJ67.gene.001447
Halorubrum_Sp_AJ67.gene.00187,Halorubrum_Sp_AJ67.gene.001459
